Job Title,Job Link,Company Name,Location,Salary,Job Description,Posted Text,Post Date,Job Age
Customer Experience Agent - Lead Logistics,"https://www.glassdoor.co.in/job-listing/customer-experience-agent-lead-logistics-apm-terminals-JV_KO0,40_KE41,54.htm?jl=1009779085401",APM Terminals4.1,India,,"Opportunity
APM Terminals
Job Description:
Build strong and lasting relationships with customers and provide second-to-none customer service.
Take full responsibilities and end-to-end ownership of customer shipments and issues.
Engage in constructive problem resolution and provide solutions.
Act and communicate proactively and keep customers informed of any issues or changes in bookings.
Address root causes and seek continuous improvements – constantly look for ways to improve work processes.
Work independently and assist the team in realizing goals and standards – share knowledge and best practices.
Take responsibility for the execution of shipment life-cycle process including cross functional coordination.
Adhere to standardized processes and tasks without compromising customer experience.

Key Requirements
Previous experience in shipping/ logistics is highly preferred.
An excellent team player.
Able to work under pressure.
Well organised, efficient and effective.
Strong interpersonal and communication skills.
Fluent in English (written and oral)
The ideal candidate will be a person who has strong business, market and customer understanding with a passion to delight the customer through service.
Has the ability to handle complaints with a positive attitude and is willing to build a long-term relationship with the customer. Is able to influence and persuade the customer and handle exception management. Has the ability to take ownership and work for early resolution and closure of customer issues. Works accurately with eye for detail and has empathy for the customer's situation.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
Logistics & Services Associate,"https://www.glassdoor.co.in/job-listing/logistics-services-associate-apm-terminals-JV_KO0,28_KE29,42.htm?jl=1009757885455",APM Terminals4.1,India,,"Opportunity
APM Terminals
Position Summary
This position is responsible to deliver on the SCM Strategy in the geographical area covered by Maersk Area office. Deliver according to the financial and operational targets defined by some of the global customers of Maersk.

Key Responsibilities
Build strong and lasting relationship with the with all stakeholders within the customer’s organisation
Ensure all customer issues and queries are attended to on priority with minimal escalations
Establish relationship-based customer service delivery
Work with the team to deliver top quartile results on customer experience and drive owner mindset for Business
Conversion of the customer demand forecast into capacity plan at a plant level
Work with overseas customer offices on shipment prioritization matrices as well as carrier allocation
Collaborating with the customer, their plants as well as other 3PLs (CHAs, transport operators, carriers) to ensure seamless logistics planning
Coordination of Exports and Import processes across transport models - Ocean, Air, LCL - from cargo readiness & booking to BL release stage
Coordination of material/container pick up with the transport provider, CHA for customs clearance, etc.
Coordinate with the in-plant teams (packaging & MHE) to ensure packaging is export-worthy as well as MHE is/are available on time to ensure loading of product into container/outbound vehicle
Preparation of export-related documents such as CI, PL, SI, BL as well as document pouches and pre-alerts to destinations
Obtain exceptional cost approvals from the plant team as may be needed
Maintain DSRs & other reports
Education:
Bachelor's degree or equivalent in business or related field
Experience:
SCM background with proper understanding of international supply chains
Minimum 5 years of work Experience from operational roles in Logistic industry
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
"Inventory and logistic Specialist (Intern)- Gurgaon, India","https://www.glassdoor.co.in/job-listing/inventory-and-logistic-specialist-intern-gurgaon-india-aml-rightsource-india-private-limited-JV_IC2921225_KO0,54_KE55,92.htm?jl=1009789076751",AML RightSource India Private Limited2.8,Gurgaon,,"Job Description:
Position Summary:
The Logistics and Inventory Specialist plays a critical role within the IT Operations department, focusing on the efficient management of shipping, receiving, and inventory of IT equipment. This position is responsible for coordinating logistics, ensuring accurate stock levels, and maintaining compliance with shipping and inventory regulations. The Logistics and Inventory Specialist also collaborates with internal and external teams to resolve shipment and inventory issues and identifies opportunities for process improvement. This role requires a strong attention to detail, effective communication skills, and the ability to work within tight deadlines while supporting the overall IT operations.
Logistics and Inventory Specialist will:
Responsibilities:
Manage and coordinate the shipping and receiving of computer and other IT equipment.
Track inventory levels for computers and peripherals; perform regular inventory checks to ensure accuracy.
Develop and maintain efficient shipment schedules to ensure timely delivery.
Ensure compliance with shipping and inventory regulations, policies, and safety protocols.
Coordinate with internal and external teams, including customs, to resolve shipment and inventory issues.
Develop and maintain strong relationships with vendors and carriers.
Utilize online tools provided by carriers to manage packages.
Conduct regular analysis and reporting on shipping/receiving and inventory performance.
Continuously monitor and evaluate shipping and inventory processes for improvements and efficiencies.
Perform periodic inventory checks and ensure accuracy of stock levels.
Provide guidance to streamline equipment preparation and shipping processes.
Track and support hardware issues for users
Address logistic customs requests related to shipping/receiving of IT equipment.
Ensure proper recycling of cardboard and disposal of broken equipment; maintain an adequate supply of shipping materials.
Requirements:
High school diploma or equivalent.
Teamwork skills, flexibility, and patience.
Experience with shipping and receiving procedures.
Experience with customs and customs clearance of IT equipment.
Knowledge of shipping and inventory regulations and policies.
Strong attention to detail and ability to manage multiple tasks.
Excellent communication, interpersonal, and organizational skills.
Proficiency in Microsoft Office Suite and inventory management software.
Ability to work under pressure and meet strict deadlines.
Strong problem-solving and analytical skills.
Ability to lift and move equipment weighing up to 50 lbs.
Preferred Requirements:
Graduates
Additional training or certification in logistics, supply chain, or inventory management.
Business fluency in English is required. Additional languages are a plus.
Contract Terms
Contract Period will span across 3-6 months
AML RightSource is committed to fostering a diverse work environment and is proud to be an equal opportunity employer. We provide equal employment opportunities to all qualified applicants without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.",,,
Executive Assistant to C-Level Executives | Remote,"https://www.glassdoor.co.in/job-listing/executive-assistant-to-c-level-executives-remote-nao-medical-JV_KO0,48_KE49,60.htm?jl=1009673696080",Nao Medical3.8,Delhi,₹7L - ₹9L (Employer provided),"Location: Fully Remote
Schedule: Monday - Friday, Eastern Time
Pay Range: INR 700,000 - 850,000 Annually
Benefits: Paid Time Off (PTO)
About the Company
At Nao Medical, we're revolutionizing healthcare by blending cutting-edge technology with heartfelt, personalized care. Over the past 13 years, we've proudly served more than a million New Yorkers at our various locations. Our mission is simple: through our multi-specialty practice, we provide accessible, quality care tailored to each patient's needs. We're breaking down barriers, championing health equity, and delivering value-based care to create healthier communities.
Job Summary
Nao Medical, a rapidly growing healthcare organization, is in search of an Executive Assistant to C-level executives. In this pivotal role, you will play a vital part in ensuring the efficient and high-quality execution of activities that drive us toward the achievement of our strategic goals. As an ideal candidate for this position, you should possess exceptional organizational skills, meticulous attention to detail, and a dedication to supporting our C-level executives in navigating the dynamic landscape of the healthcare industry. Your contributions will be instrumental in our continued success and expansion.
This role is pivotal in maintaining efficient operations and effective communication within Nao Medical, ensuring the C-level executives' time is optimally utilized and key strategic objectives are met.
Primary Responsibilities
Calendar Management: Take charge of managing the C-level executives' calendar, meticulously scheduling appointments, and travel arrangements, and proactively resolving any scheduling conflicts. Prepare all necessary meeting materials and liaise with relevant staff to ensure the C-level executives are fully equipped for all engagements.
Facilitate Communication: Act as a liaison between the C-level executives and staff, ensuring the prompt review of proposals, correspondence, and important documentation. This includes providing guidance and support to ensure the successful execution of key strategic initiatives.
Leadership and Board Meetings: Collaborate in the planning and coordination of Leadership and Board meetings, ensuring smooth logistics and communication among stakeholders.
Optimized Scheduling: Work in coordination with the C-level executives and other stakeholders to optimize schedules and maintain efficient time management.
Vendor Relationships: Serve as the primary point of contact for select vendor relationships, both internally and externally, managing communications and ensuring smooth collaboration.
Administrative Support: Provide general administrative support, as needed, encompassing calendar management, meeting scheduling, and travel arrangements.
Committee Meeting Support: Schedule and document minutes for certain Committee Meetings, ensuring that all relevant materials are organized, managed, and effectively distributed.
Communication Hub: Manage incoming phone calls and direct them appropriately to maintain effective communication within the organization.
Mail and Shipping: Handle mail and shipping logistics, ensuring the timely processing of incoming and outgoing correspondence.
Special Projects: Contribute to special projects and other duties as assigned, demonstrating adaptability and versatility in supporting the C-level executives and organization.
Job Requirements
Education and Experience:
Preferably with a Masters degree in business administration, healthcare management, or a related field.
Minimum 3 years experience as an executive assistant, preferably supporting C-suite executives or senior leadership within a similar industry or organization.
Proficiency in computer systems, including spreadsheets, and databases with the ability to quickly learn new systems and tools.
A strong ability to manage complex schedules, coordinate meetings, and handle multiple priorities effectively.
Excellent written and verbal communication skills. This includes drafting emails, reports, and other documents on behalf of the C-level executives.
A commitment to maintaining the highest level of confidentiality when dealing with sensitive information.
Proficiency in working in a fully remote work environment.
Schedule Requirements:
Ability to work night shifts during Eastern Time, from 8:00 AM - 5:00 PM, Monday-Friday
Technical Requirements:
Candidates must provide their equipment and technology meeting these minimum specifications:
Up-to-date desktop or laptop computer with at least 8GB of RAM and a modern processor (Intel i5 or equivalent).
Windows 10 or macOS 10.15 (Catalina) or later.
High-speed internet connection with a minimum speed of 50 Mbps.
Functional headset with microphone, webcam, and reliable keyboard and mouse.
Quiet workspace devoid of distractions.
A second monitor is preferred, but not required.
Emergency backup or contingency plan for technology or connectivity issues.
Equal Employment Opportunity Statement
Nao Medical is an Equal Opportunity Employer. We are committed to fostering, cultivating, and preserving a culture of diversity, equity, and inclusion. We do not discriminate based on race, color, religion, creed, national origin, ancestry, sex, age, disability, marital status, sexual orientation, gender identity, genetic information, military or veteran status, or any other characteristic protected by applicable federal, state, or local laws. This policy applies to all employment terms and conditions, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.
Nao Medical is dedicated to providing a work environment free from discrimination and harassment and treating all individuals with respect and dignity. Combining individuals from diverse backgrounds and experiences creates a more innovative, creative, and productive workforce.
Experience the Nao Medical difference. Join us in transforming healthcare, Nao!",,,
Customer service executive,"https://www.glassdoor.co.in/job-listing/customer-service-executive-apm-terminals-JV_IC2920849_KO0,26_KE27,40.htm?jl=1009725361665",APM Terminals4.1,Jhajjar,₹5L - ₹9L (Glassdoor Est.),"Opportunity
APM Terminals
Fulfillment & Logistics Operations Execution includes roles that manage and execute inventory, warehouse and fulfilment activities (planning and execution, distribution is covered by carrier management). Includes all kinds of warehouses like CFS, CY, inland depot / warehouses, bonded warehouses, etc. whether owned, operated or both by Maersk.
Administrative stream includes those who primarily support others by performing skilled technical, administrative or operational tasks. Jobs may range from highly supervised entry-level workers, technicians, and administrative staff to experienced individual contributors with robust technical or practical knowledge in specific areas, who have an ability to execute specialized work to support operations.

At the top of this career stream, individuals work independently and apply standards, yet can also make departures from established processes to resolve problems.
A colleague at this level performs work that is based on routines and any new knowledge is generally acquired through short explanations and simple instructions.

Colleagues perform highly specific task or tasks of limited scope and responsibility that have well-defined processes and procedures and readily available instructions.

The job requires little or no prior work experience within the functional area and the colleague is not expected to exercise independent judgment. Works under close supervision.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
Junior Logistics Operator,"https://www.glassdoor.co.in/job-listing/junior-logistics-operator-cencora-JV_IC2865319_KO0,25_KE26,33.htm?jl=1009770361274",Cencora3.5,Hyderābād,₹4L - ₹8L (Glassdoor Est.),"Our team members are at the heart of everything we do. At Cencora, we are united in our responsibility to create healthier futures, and every person here is essential to us being able to deliver on that purpose. If you want to make a difference at the center of health, come join our innovative company and help us improve the lives of people and animals everywhere. Apply today!
Job Details
Our team is looking for a dedicated team player who shares our passion for logistics and supply chain. This role reports directly to Operations supervisor / Operation Executive / Branch Manager.
The holder of this position must coordinate the cooperation between his area of work with all other areas of the corporation in such a manner that the flow of information is always free of friction, unimpeded, and a holistically positive coordination is assured.
The work environment characteristics described here are representative of those an associate encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Resposibilities:
loads, unloads of packages scheduled for pickups/deliveries
checks correctness and completeness of consignment during pickups/deliveries
consults with dispatching on best route available for a timely delivery/pickup;
he must make sure that the House Way Bill is properly completed by shipper and/or consignee
uses cell phone to immediately report on progress or problem of deliveries, pick ups and to secure permanent availability
verifies good order of packages and/or envelopes
provides a communication link between customers and office staff.
any customer feedback must immediately be reported to operation
assure that all tasks assigned to him is fulfilled in a correct and timely manner
must maintain excellent cooperation with other team members
must be courteous with all customers and must always use proper language;
must be dependable and avoid unexcused absence
must be presentable, wear clean clothes and well-kept at all times
always follow safety of work
.
Experience in logistics
Knowledge of cold chain logistics and clinical trial logistics is an added advantage
Ability to read, write, and interpret basic English
Willingness to learn related responsibilities required for this role
What Cencora offers
Benefit offerings outside the US may vary by country and will be aligned to local market practice. The eligibility and effective date may differ for some benefits and for team members covered under collective bargaining agreements.
Full time
Affiliated Companies
Affiliated Companies: World Courier (India) Private Limited
Equal Employment Opportunity
Cencora is committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status or membership in any other class protected by federal, state or local law.
The company’s continued success depends on the full and effective utilization of qualified individuals. Therefore, harassment is prohibited and all matters related to recruiting, training, compensation, benefits, promotions and transfers comply with equal opportunity principles and are non-discriminatory.
Cencora is committed to providing reasonable accommodations to individuals with disabilities during the employment process which are consistent with legal requirements. If you wish to request an accommodation while seeking employment, please call 888.692.2272 or email [email protected]. We will make accommodation determinations on a request-by-request basis. Messages and emails regarding anything other than accommodations requests will not be returned",,,
Import & Logistics Executive,"https://www.glassdoor.co.in/job-listing/import-logistics-executive-vardhman-airport-solutions-JV_KO0,26_KE27,53.htm?jl=1008000011101",Vardhman Airport Solutions,India,,"Job Description
Key words: Commercial, Supply Chain , Logistics , Purchase , Materials, Import, Export, Inbound & Outbound Logistics, Customer clearance, INCO terms, High sea sales, Invoicing, billing, MIS,
About our Company: Vardhman Airport Solutions Pvt Ltd is a premier organization providing quality product, solution and services for Airfield Lighting system, Visual docking guidance system, Photometric equipment & Security Systems for commercial & defence airports to elevate the airside infrastructure to the next level.
We are authorized representative and distributor of atg airports (U.K), FB technology ( France), RLG Docking Systems(USA), Unika( Turkey) and many more OEMs which help us to deliver the best product & solution for Airports. The equipment offered are designed to meet IEC, FAA, and ICAO requirements.
The company has been promoted by senior industry professionals with proven track record of working in global MNC’s. The promoters brings best international practices in Airport solutions with hands on experience of almost 20 years.
Position: Import & Logistics Executive
Short Description: We are looking for passionate, active and dedicated individual who can manage materials, logistics and supply chain function for our Airport Business. If you are good at independently handling Supply chain, Vendor Management & Import Logistics, this is the right job for you. The company is promoted by industry veterans and is growing rapidly and offer ample growth opportunity. Salary & remuneration will not be a constraint for right candidate
Supply Chain and Logistics
Ensuring logistics of imported and indigenous goods by coordinating with international and local freight forwarders for timely delivery of goods as per requirement of operations team.
Handle dispatch Documents
Ensuring all documents are meeting bank norms, filling bank forms and formalities for forex transactions for all imports
Preparation of Reconciliation Statement
Logistics
Arranging by air and sea shipment pick up at all origin through freight forwarder/shipping line/ Airline by coordinating with international suppliers and local customers.
Arranging booking & managing shipping schedule for sea and airport movement and checking all draft HAWB docs in advance
Tracking and keeping records of the vessel / flights once it leaves the origin and update MIS for all concerned stakeholders
Follow up with supplier for commercial documents as well as original documents for clearance
Arranging all required documents in advance such as pre-alert, original documents – Inv PL, HAWB, FRT, FDS, bond, Sale, purchase, custom letter in case of HSS shipment, security, authority letter for DO delivery collection
Arranging shipping line debit note, detention, security, freight forwarder charges
Coordinating with commercial dept for procurement certificate, self-clearance team for shipment clearance
Coordinating with procurement/store/CFS/ shipper/freight forwarder/shipping line/ transporter and end customer for delivery.
Vendor Evaluation, Vendor Reconciliation
Checking & processing freight forwarder bills as per bid and transportation bills
Arranging payment of Delivery order, freight forwarder and detention charges if any
Arranging for DO delivery/Customer clearance/ transportation.
Well versed in handling computers and experience of working on MS Word, Excel, Power Point
Possess excellent analytical, Communication (Written & Verbal) & problem-solving abilities.
Ability to effectively analyze accounting information and financial records for organization.
Detail oriented and organized in work.
Ability to work cooperatively and collaboratively with all levels of employees, management and external customers.
Ability to effectively organize and structure activities on daily basis, prioritize and manage multiple tasks simultaneously and work to a deadline.
Self-motivated, proactive, with a desire to learn/grow.
Well versed to arrange all Local transportation within India.
Have knowledge of LCL, FCL, DG LCL and DG FCL.
Must have good contacts with Shipping lines & Air Lines for taking freight Negotiation.
Must have good contact with CHAs, Transporters.
Education & Experience: B.Com. / M. Com. / or Any Graduate with similar relevant experience of 3 to 7 years",,,
"Manager, Logistics","https://www.glassdoor.co.in/job-listing/manager-logistics-commscope-JV_IC2872318_KO0,17_KE18,27.htm?jl=1009790413806",CommScope3.4,Verna,₹3L - ₹6L (Glassdoor Est.),"In our 'always on' world, we believe it's essential to have a genuine connection with the work you do.
Due to continuous growth, CommScope is looking to hire a Logistic manager to join its team in Goa, India.
This role will be responsible for overall supply chain management duties including selecting carriers, researching shipping methods, assessing budgets, and organizing storage. The successful candidate must demonstrate strong attention to detail to oversee daily operations and logistics employees. In addition to having excellent interpersonal skills, the candidate should also possess in-depth knowledge of logistics and inventory systems.
How You'll Help Us Connect the World:
The logistics manager will be responsible for strategically planning transportation of finished goods and raw materials, maintaining finished goods' warehouse., and coordinating with internal and external customers.Selecting transporters and negotiating rates and finalizing contracts with service providers.Organizing and monitoring storage and distribution of goods.The goal is to enhance business development and ensure sustainability and customer satisfaction.Keep track of quality, quantity, stock levels, delivery times, transport costs and efficiency.Achieve Container and Vehicle utilization target as per company standards, plan routes and process shipments.Resolve any arising problems or complaints.Supervise, coach and train logistics workforce.Meet cost, productivity, accuracy and timeliness targets, Meeting the SDD and OTP as per company standards.Maintain metrics and analyze data to assess performance and implement improvements.Comply with laws, regulations, and ISO requirements.Maintain high standards of 5s in warehouse.
Required Qualifications for Consideration:
Bachelor's and University Degree in Commerce, BE, Business /Administration, MBA – Logistics or Supply Chain Management will be preferred.Preferrable 20+ years of experience in Logistics in manufacturing industry.
You Will Excite Us If You Have:
Excellent written, verbal, and public speaking communication skills.Excellent analytical, audit, organization skills including ability to collect, structure, analyze and communicate data.Proven track record to lead and manage large work force.Excellent analytical, problem solving and organizational skills.Ability to work independently and balance multiple tasks.Ability to solve problems and think outside of the box.Proficiency with Microsoft Office programs (Word, Excel, Power Point, Power BI) and IT familiarity – SAP
What Happens After You Apply:
Learn how to prepare yourself for the next steps in our hiring process by visiting https://jobs.commscope.com/content/How-We-Hire/?locale=en_US
Why CommScope?
CommScope is on a quest to deliver connectivity that empowers how we live, work, and learn. Our employees push the boundaries of communications technology that enables groundbreaking discoveries like 5G, the Internet of Things, and gigabit speeds for everyone, everywhere. With our unmatched expertise in copper, fiber, and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.
If you want to grow your career alongside forward-thinking, hardworking, and caring people who strive to create what's next…..come connect to your future at CommScope.
CommScope is an Equal Opportunity Employer (EEO), including people with disabilities and veterans. If you are seeking an accommodation for the application or interview process, please contact us to submit your request at [email protected]",,,
Junior Executive - Warehouse and Logistics,"https://www.glassdoor.co.in/job-listing/junior-executive-warehouse-and-logistics-novonesis-JV_IC2851180_KO0,40_KE41,50.htm?jl=1009755407913",Novonesis4.3,Mumbai,₹2L - ₹3L (Glassdoor Est.),"Are you ready for a new beginning?
We need your talent, knowledge and dedication to better our world with biology.
Our purpose points the way
In Novonesis, we know that solutions rooted in biology can help solve humanity’s biggest challenges. Since we began more than a century ago, this has been our guide. It’s how we've gotten so far. And it’s how we'll impact the future. Now, more than ever, the world needs change. And with biosolutions, the possibilities for transformation are endless.
We’re here to better our world with biology.
In this role you’ll make an impact by:
Experience working within a logistics or supply chain environment is highly desirable.
Experience in operating equipment (VNA , Reach Stacker, BOPT, Forklift etc.)
Following of Good manufacturing practices.
Open to perform all the shop floor activities related to Inbound & Outbound operations (Receiving, put away, handling and storage, Picking & Dispatch)
Ensure proper Maintenance of MHE’s in coordination with Maintenance Department.
Monitoring and process control of WH & Logistics operations
Adherence to company policy, Standard Operating Procedures, Equipment operating procedures, Standard cleaning procedure, Equipment Cleaning Checklist, Annexure, and safety requirements.
Adherence to OHS and Food safety requirements.
Reporting of non-conformities and implementation of corrective/preventive actions in specific areas of operation.
Co-ordination with cross functional department (Production, EXIM & CSR)
Experience of using Handheld devices, SAP & Warehouse Management System (WMS) would be an added advantage.
Potentially relevant experience:
Candidate profile :
Ability to influence management, problem solving skills with LEAN concept, manages relationships with global teams.
Good written and verbal English speaking and presentation skills.
 4-5 years work experience in warehouse & logistics operations.
 Self-starter with ability to face challenges, resolve issues and implement improvements.
 Specific experience in SAP (SAP R/3).
 Proficient in Office 365 - Word, Excel, PowerPoint, Outlook, and OneNote , Teams
Ability to work in three shift.
Basic Qualifications :
Graduation from any stream
Could our purpose be yours? Then apply today!
At Novonesis we commit to an inclusive recruitment process and equality of opportunity for all our job applicants. We recommend you not to attach a cover letter to your application. Instead, please include a few sentences in your resume/CV about why you are applying. To ensure a fair recruitment process, please refrain from adding a photo in your resume/CV.


Novonesis is dedicated to fostering a unique community by embracing and respecting differences. We make all employment decisions based on business needs, ensuring that every individual can thrive, regardless of identity or background such as ethnicity, religion, gender, sexual orientation, age, disability, or veteran status.


Want to learn more?

Learn more about Novonesis, our purpose, and your career opportunities at novonesis.com


Not the right fit for you?

Even if this job isn't the right fit for you, perhaps you know someone who might find it interesting. If so, please feel free to share the job link and encourage them to apply. Thank you for your referral! Please check out our other open positions. The right fit for you could just be a few clicks away.
Stay alert: Avoid recruitment scams

At Novonesis, we are committed to maintaining a safe and transparent recruitment process. Please be aware of potential scams targeting job seekers and take note of the following:
Novonesis will never ask for sensitive personal information, such as bank account details, Social Security numbers, or passwords, at any stage of the hiring process.
Novonesis does not make employment offers without conducting interviews with candidates.
If you receive suspicious communication claiming to be from Novonesis, please do not share any personal or financial information. We encourage you to verify the legitimacy of the message by contacting us directly through our official channels.",,,
Executive - Operations,"https://www.glassdoor.co.in/job-listing/executive-operations-apm-terminals-JV_KO0,20_KE21,34.htm?jl=1009785446298",APM Terminals4.1,India,,"Opportunity
APM Terminals
Maintain high standards of quality in overall CFS operations, Gate Ops, Customs compliance, Knowledge of EXIM Process
Fulfillment & Logistics Operations Execution includes roles that manage and execute inventory, warehouse and fulfilment activities (planning and execution, distribution is covered by carrier management). Includes all kinds of warehouses like CFS, CY, inland depot / warehouses, bonded warehouses, etc. whether owned, operated or both by Maersk.
Job Responsibilities:Interaction with control tower team in case of contingency on laden and empty containerEnsure speedy resolutions on issue and exception raised by customerAdhere standard processes and monitors respective KPI’sEnsure stacking with segregation of containersEnsure Truck TAT & RS moves are controlled efficientlyCreating a yard management systemInvolve in transformance journey through standardization & digitalization adoptionResponsible for system transition and automation developmentMIS reports with high accuracyManage Labor ForceEnsures and plans for safe handling of all type of cargo upon deliveryMakes sure all operations are Risk assessed on nature of workSPOC for all Internal departments for smooth transition of operations.
Accountable for :CFS OperationsSafety & security of SiteEnsure compliance with all safety regulations and company policies.Yard Management SystemCargo/container gate IN/OUT with time bound & appropriate documents.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
